,Awards,imdbRating,imdbVotes,imdb_id,totalSeasons,title,type,genre,runtime,rating,webChannel,network,award_exposure,Action,Adult,Adventure,Anime,Children,Comedy,Crime,Drama,Family,Fantasy,Food,History,Horror,Legal,Medical,Music,Mystery,Nature,Romance,Science-Fiction,Sports,Supernatural,Thriller,Travel,War,Western
239,9 wins & 6 nominations.,8.6,"7,109",tt5994364,1,Goblin,Scripted,"['Drama', 'Fantasy', 'Romance']",60.0,9.0,False,tvN,15,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
240,9 wins & 8 nominations.,8.5,"5,378",tt2147995,7,Der Tatortreiniger,Scripted,['Comedy'],30.0,8.8,False,NDR,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,2 wins.,8.5,"10,495",tt0807832,1,Mushi-Shi,Animation,"['Drama', 'Anime', 'Fantasy']",25.0,,False,Tokyo MX,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,5 wins & 1 nomination.,8.5,"10,586",tt2674806,6,Inside No. 9,Scripted,"['Comedy', 'Thriller', 'Supernatural']",30.0,8.4,False,BBC Two,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
244,4 wins & 3 nominations.,8.6,"23,645",tt1534360,2,Ezel,Scripted,"['Drama', 'Crime', 'Thriller']",90.0,,False,ATV,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
245,N/A,8.4,"35,759",tt0103584,5,X-Men,Animation,"['Children', 'Science-Fiction']",30.0,8.2,False,FOX,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
246,Won 6 Primetime Emmys. Another 24 wins & 56 nominations.,8.4,"205,001",tt0149460,7,Futurama,Animation,"['Comedy', 'Adventure', 'Science-Fiction']",30.0,9.0,False,Comedy Central,86,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
247,Won 2 Golden Globes. Another 19 wins & 33 nominations.,8.5,"24,844",tt7660850,3,Succession,Scripted,"['Drama', 'Family']",60.0,6.8,False,HBO,54,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,Won 4 Golden Globes. Another 93 wins & 117 nominations.,8.4,"73,442",tt2788432,4,American Crime Story,Scripted,"['Drama', 'Crime']",60.0,7.3,False,FX,214,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,2 wins.,8.5,"7,643",tt9398466,1,Delhi Crime,Scripted,"['Drama', 'Crime']",50.0,,Netflix,False,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
