,Awards,imdbRating,imdbVotes,imdb_id,totalSeasons,title,type,genre,runtime,rating,webChannel,network,award_exposure,Action,Adult,Adventure,Anime,Children,Comedy,Crime,Drama,Family,Fantasy,Food,History,Horror,Legal,Medical,Music,Mystery,Nature,Romance,Science-Fiction,Sports,Supernatural,Thriller,Travel,War,Western
73,N/A,8.7,"106,369",tt0214341,15,Dragon Ball Z,Animation,"['Action', 'Adventure', 'Anime', 'Fantasy']",30.0,8.9,False,Fuji TV,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Nominated for 2 Primetime Emmys. Another 8 nominations.,8.8,"39,495",tt7221388,2,Cobra Kai,Scripted,"['Drama', 'Comedy', 'Action']",30.0,6.8,YouTube Premium,False,10,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,N/A,8.9,"5,526",tt10233448,1,Vinland Saga,Animation,"['Action', 'Adventure', 'Anime']",30.0,8.9,False,NHK,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Nominated for 4 Golden Globes. Another 47 wins & 149 nominations.,8.7,"381,210",tt0475784,3,Westworld,Scripted,"['Drama', 'Science-Fiction', 'Western']",60.0,8.6,False,HBO,200,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
77,N/A,8.8,"7,450",tt0158417,1,Mahabharat,Scripted,['Drama'],45.0,,False,DD National,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Won 1 Primetime Emmy. Another 6 wins & 5 nominations.,8.7,"14,877",tt0074006,1,"I, Claudius",Scripted,"['Drama', 'History']",50.0,9.8,False,BBC Two,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Won 3 Golden Globes. Another 62 wins & 98 nominations.,8.7,"63,278",tt5788792,4,The Marvelous Mrs. Maisel,Scripted,"['Drama', 'Comedy']",60.0,8.5,Amazon Prime,False,163,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1 win & 2 nominations.,8.7,"134,840",tt1190634,1,The Boys,Scripted,"['Drama', 'Action', 'Science-Fiction']",60.0,8.6,Amazon Prime,False,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82,5 wins & 17 nominations.,8.7,"164,958",tt5753856,3,Dark,Scripted,"['Drama', 'Supernatural']",60.0,8.0,Netflix,False,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
83,Won 1 Golden Globe. Another 20 wins & 126 nominations.,8.7,"93,369",tt0264235,10,Curb Your Enthusiasm,Scripted,['Comedy'],30.0,8.1,False,HBO,147,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Won 2 Golden Globes. Another 44 wins & 45 nominations.,8.7,"65,146",tt5687612,2,Fleabag,Scripted,"['Drama', 'Comedy']",30.0,8.4,BBC Three,False,91,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,3 wins & 7 nominations.,8.7,"142,475",tt8111088,2,The Mandalorian,Scripted,"['Action', 'Adventure', 'Science-Fiction']",,8.5,Disney+,False,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
87,N/A,9.1,"11,623",tt1518542,2,Sarabhai vs Sarabhai,Scripted,['Comedy'],25.0,,Hotstar,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Won 2 Primetime Emmys. Another 5 wins & 5 nominations.,8.7,"35,711",tt4299972,1,The Jinx: The Life and Deaths of Robert Durst,Documentary,"['Crime', 'Mystery']",45.0,7.6,False,HBO,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
89,N/A,8.7,"18,657",tt0086661,2,Sherlock Holmes,Scripted,"['Drama', 'Crime', 'Mystery']",60.0,8.8,False,ITV,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,Nominated for 3 Golden Globes. Another 27 wins & 147 nominations.,8.7,"274,875",tt3032476,6,Better Call Saul,Scripted,"['Drama', 'Crime', 'Legal']",60.0,8.7,False,AMC,177,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,Won 3 Golden Globes. Another 55 wins & 162 nominations.,8.7,"114,650",tt0248654,5,Six Feet Under,Scripted,"['Drama', 'Comedy']",60.0,8.6,False,HBO,220,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,22 wins & 26 nominations.,8.7,"18,832",tt0459159,5,The Thick of It,Scripted,['Comedy'],30.0,8.1,False,BBC Four,48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Won 5 Primetime Emmys. Another 12 wins & 83 nominations.,8.7,"316,276",tt0121955,23,South Park,Animation,['Comedy'],30.0,8.6,False,Comedy Central,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Nominated for 2 Primetime Emmys. Another 23 wins & 26 nominations.,8.7,"90,845",tt3398228,6,BoJack Horseman,Animation,"['Drama', 'Comedy']",25.0,8.2,Netflix,False,51,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Nominated for 1 Golden Globe. Another 168 wins & 302 nominations.,8.7,"328,282",tt0096697,31,The Simpsons,Animation,"['Comedy', 'Family']",30.0,8.3,False,FOX,471,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1 win.,8.8,"9,599",tt9335498,1,Demon Slayer: Kimetsu no Yaiba,Animation,"['Drama', 'Action', 'Anime', 'Fantasy']",30.0,8.0,False,Tokyo MX,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Won 2 Golden Globes. Another 55 wins & 138 nominations.,8.7,"393,418",tt0412142,8,House,Scripted,"['Drama', 'Mystery', 'Medical']",60.0,9.0,False,FOX,195,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
102,Won 3 Golden Globes. Another 54 wins & 130 nominations.,8.7,"108,618",tt4786824,4,The Crown,Scripted,"['Drama', 'History']",60.0,8.4,Netflix,False,187,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Won 3 Primetime Emmys. Another 38 wins & 91 nominations.,8.7,"146,680",tt0407362,4,Battlestar Galactica,Scripted,"['Drama', 'Science-Fiction', 'War']",60.0,9.0,False,Syfy,132,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
104,1 nomination.,8.9,"6,473",tt5099020,3,Aranyélet,Scripted,"['Drama', 'Crime']",60.0,9.2,HBO Go CEE,HBO,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1 nomination.,9.4,"6,467",tt4834232,12,Critical Role,Game Show,"['Adventure', 'Fantasy']",240.0,,twitch,False,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,3 wins & 9 nominations.,8.7,"59,411",tt0388629,20,One Piece,Animation,"['Action', 'Adventure', 'Anime', 'Fantasy']",30.0,9.0,False,Fuji TV,12,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Won 2 Golden Globes. Another 13 wins & 59 nominations.,8.7,"68,205",tt0286486,7,The Shield,Scripted,"['Drama', 'Crime']",60.0,8.9,False,FX,74,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9 wins & 32 nominations.,8.7,"141,544",tt6763664,2,The Haunting of Hill House,Scripted,"['Drama', 'Horror', 'Thriller']",60.0,8.3,Netflix,False,41,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
111,Won 1 Golden Globe. Another 45 wins & 160 nominations.,8.7,"88,557",tt5555260,4,This Is Us,Scripted,"['Drama', 'Comedy', 'Romance']",60.0,8.1,False,NBC,206,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
112,Won 1 Golden Globe. Another 27 wins & 83 nominations.,8.6,"89,353",tt0348914,3,Deadwood,Scripted,"['Drama', 'Crime', 'Western']",60.0,9.2,False,HBO,111,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
113,1 nomination.,8.7,"58,996",tt5712554,4,The Grand Tour,Reality,"['Comedy', 'Adventure']",60.0,8.2,Amazon Prime,False,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Won 3 Golden Globes. Another 54 wins & 223 nominations.,8.7,"152,011",tt1606375,6,Downton Abbey,Scripted,"['Drama', 'Family', 'Romance']",60.0,9.1,False,ITV,280,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
115,Won 2 Golden Globes. Another 16 wins & 17 nominations.,8.7,"19,453",tt0096639,1,Lonesome Dove,Scripted,"['Drama', 'Adventure', 'Western']",140.0,8.6,False,CBS,35,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116,N/A,8.6,"25,897",tt0318871,1,Berserk,Animation,"['Anime', 'Fantasy', 'Horror']",25.0,8.8,False,NTV,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
118,9 wins & 21 nominations.,8.6,"53,058",tt1733785,4,Bron / Broen,Scripted,"['Drama', 'Crime', 'Thriller']",60.0,9.1,False,SVT1,30,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
119,Won 5 Golden Globes. Another 94 wins & 217 nominations.,8.6,"189,832",tt0106179,11,The X-Files,Scripted,"['Drama', 'Crime', 'Science-Fiction']",60.0,8.6,False,FOX,316,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120,Won 1 Golden Globe. Another 24 wins & 140 nominations.,8.6,"191,917",tt1266020,7,Parks and Recreation,Scripted,['Comedy'],30.0,8.5,False,NBC,165,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Won 18 Primetime Emmys. Another 18 wins & 61 nominations.,8.6,"92,749",tt0092455,7,Star Trek: The Next Generation,Scripted,"['Action', 'Adventure', 'Science-Fiction']",60.0,8.8,False,Syndication,97,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
123,Won 2 Primetime Emmys. Another 10 wins & 53 nominations.,8.6,"130,156",tt1486217,10,Archer,Animation,"['Comedy', 'Action', 'Adult']",30.0,8.7,False,FXX,65,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Won 2 Golden Globes. Another 46 wins & 85 nominations.,8.6,"44,954",tt4288182,3,Atlanta,Scripted,"['Drama', 'Comedy', 'Music']",30.0,7.4,False,FX,133,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
126,12 wins & 32 nominations.,8.6,"26,400",tt2303687,6,Line of Duty,Scripted,"['Drama', 'Crime', 'Thriller']",60.0,8.8,False,BBC One,44,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
127,Won 3 Primetime Emmys. Another 13 wins & 96 nominations.,8.7,"53,051",tt0758745,5,Friday Night Lights,Scripted,"['Drama', 'Sports']",60.0,8.6,False,NBC,112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
128,4 wins.,8.6,"44,128",tt0994314,2,Code Geass,Animation,"['Drama', 'Action', 'Anime', 'Science-Fiction']",25.0,8.1,False,MBS,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
129,Won 1 Primetime Emmy. Another 8 wins & 29 nominations.,8.6,"29,467",tt1641384,3,Young Justice,Animation,"['Action', 'Adventure', 'Science-Fiction']",30.0,8.5,DC Universe,False,38,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
130,9 wins & 2 nominations.,8.7,"25,354",tt2049116,4,Gomorra,Scripted,"['Drama', 'Action', 'Crime']",60.0,8.4,False,Sky Atlantic,11,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Won 2 Golden Globes. Another 50 wins & 194 nominations.,8.6,"618,742",tt0773262,8,Dexter,Scripted,"['Drama', 'Crime', 'Mystery']",50.0,8.5,False,Showtime,246,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
134,Won 5 Golden Globes. Another 132 wins & 381 nominations.,8.6,"191,718",tt0804503,7,Mad Men,Scripted,['Drama'],60.0,8.3,False,AMC,518,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Nominated for 5 Primetime Emmys. Another 10 wins & 36 nominations.,8.6,"344,273",tt3322312,3,Marvel's Daredevil,Scripted,"['Drama', 'Action', 'Crime']",60.0,8.4,Netflix,False,51,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,3 wins & 12 nominations.,8.6,"28,582",tt0380136,16,QI,Panel Show,['Comedy'],30.0,8.7,False,BBC Two,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Nominated for 2 Primetime Emmys. Another 2 nominations.,8.6,"16,306",tt1513168,8,Through the Wormhole,Documentary,['Science-Fiction'],60.0,8.3,False,Science,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
138,Nominated for 1 Primetime Emmy. Another 4 wins & 22 nominations.,8.6,"180,032",tt5290382,2,MINDHUNTER,Scripted,"['Drama', 'Crime', 'Thriller']",60.0,8.5,Netflix,False,27,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
139,N/A,8.6,"29,913",tt0053488,3,The Bugs Bunny Show,Animation,"['Comedy', 'Family']",30.0,,False,ABC,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Won 4 Primetime Emmys. Another 9 wins & 13 nominations.,8.6,"81,529",tt5189670,2,Making a Murderer,Documentary,['Crime'],63.0,8.6,Netflix,False,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,1 nomination.,9.2,"16,543",tt8595766,1,Yeh Meri Family,Scripted,"['Drama', 'Comedy', 'Family']",30.0,,TVFPlay,False,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,N/A,8.6,"11,177",tt0403778,N/A,Long Way Round,Documentary,"['Adventure', 'Travel']",60.0,,False,Sky 1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
143,9 wins & 35 nominations.,8.6,"49,335",tt0387764,9,Peep Show,Scripted,['Comedy'],30.0,8.5,False,Channel 4,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,N/A,8.6,"10,738",tt2244495,4,The Eric André Show,Talk Show,['Comedy'],15.0,7.4,False,Adult Swim,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,1 nomination.,8.6,"28,147",tt0417349,1,North & South,Scripted,"['Drama', 'Romance']",60.0,8.8,False,BBC One,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
147,15 wins & 4 nominations.,8.6,"34,729",tt0111958,3,Father Ted,Scripted,['Comedy'],30.0,8.1,False,Channel 4,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,N/A,8.7,"6,584",tt0075537,3,Mind Your Language,Scripted,['Comedy'],30.0,,False,ITV,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,2 wins & 6 nominations.,8.8,"64,119",tt6077448,2,Sacred Games,Scripted,"['Drama', 'Action', 'Crime']",50.0,7.0,Netflix,False,8,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2 nominations.,8.6,"11,903",tt8289930,2,Formula 1: Drive to Survive,Documentary,['Sports'],,7.1,Netflix,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
151,N/A,9.1,"2,271",tt12004706,N/A,Panchayat,Scripted,"['Drama', 'Comedy']",,,Amazon Prime,False,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Nominated for 2 Golden Globes. Another 9 wins & 30 nominations.,8.6,"99,392",tt1870479,3,The Newsroom,Scripted,['Drama'],60.0,8.7,False,HBO,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,2 wins & 6 nominations.,8.6,"47,841",tt0187664,2,Spaced,Scripted,['Comedy'],30.0,8.5,False,Channel 4,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,6 wins & 3 nominations.,8.6,"11,393",tt0080306,3,Yes Minister,Scripted,['Comedy'],30.0,8.7,False,BBC Two,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,N/A,8.6,"17,714",tt0434706,1,Monster,Animation,"['Drama', 'Anime', 'Crime', 'Horror']",25.0,8.6,False,NTV,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
157,N/A,8.8,"6,553",tt4269716,2,Umbre,Scripted,"['Drama', 'Crime']",60.0,7.8,HBO Go CEE,False,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,1 win & 1 nomination.,8.6,"7,435",tt0229889,8,El Chavo del Ocho,Scripted,"['Drama', 'Comedy', 'Adventure']",30.0,,False,Telesistema Mexicano,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,16 wins & 15 nominations.,8.7,"25,581",tt5288312,4,Skam,Scripted,"['Drama', 'Romance']",30.0,8.3,False,NRK1,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
160,3 nominations.,8.6,"8,933",tt0118273,2,Brass Eye,Scripted,['Comedy'],30.0,,False,Channel 4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,2 nominations.,8.7,"24,814",tt1795096,3,Behzat Ç. Bir Ankara Polisiyesi,Scripted,"['Drama', 'Action', 'Crime']",90.0,,BluTV,False,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Won 1 Golden Globe. Another 21 wins & 33 nominations.,8.6,"10,374",tt0120570,1,From the Earth to the Moon,Documentary,['Drama'],60.0,7.8,False,HBO,55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Nominated for 1 Primetime Emmy. Another 6 wins & 16 nominations.,8.6,"34,953",tt0094525,13,Agatha Christie's Poirot,Scripted,"['Drama', 'Crime', 'Mystery']",90.0,8.7,False,ITV,23,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
164,3 wins.,8.6,"57,882",tt0421357,1,Fullmetal Alchemist,Animation,"['Action', 'Adventure', 'Anime']",30.0,8.5,False,Animax,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Won 2 Primetime Emmys. Another 8 wins & 66 nominations.,8.6,"80,662",tt1489428,6,Justified,Scripted,"['Drama', 'Crime', 'Western']",60.0,8.8,False,FX,76,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
166,Nominated for 2 Golden Globes. Another 14 wins & 64 nominations.,8.6,"188,287",tt1586680,11,Shameless,Scripted,"['Drama', 'Comedy', 'Crime']",60.0,8.6,False,Showtime,80,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Won 5 Primetime Emmys. Another 4 wins & 4 nominations.,8.6,"79,268",tt9561862,2,"Love, Death & Robots",Animation,"['Horror', 'Science-Fiction', 'Thriller']",15.0,8.2,Netflix,False,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
169,115 wins & 205 nominations.,8.6,"192,582",tt0436992,12,Doctor Who,Scripted,"['Drama', 'Adventure', 'Science-Fiction']",50.0,8.5,False,BBC One,320,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
170,Nominated for 2 Primetime Emmys. Another 9 nominations.,8.5,"38,816",tt0275137,5,Justice League Unlimited,Animation,"['Action', 'Adventure', 'Science-Fiction']",30.0,8.8,False,Cartoon Network,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
171,N/A,8.5,"43,562",tt0112159,1,Neon Genesis Evangelion,Animation,"['Drama', 'Action', 'Anime', 'Science-Fiction']",25.0,8.4,False,TV Tokyo,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
172,Won 8 Primetime Emmys. Another 18 wins & 48 nominations.,8.6,"70,569",tt1305826,10,Adventure Time,Animation,"['Comedy', 'Adventure', 'Children']",15.0,8.2,False,Cartoon Network,74,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Won 2 Golden Globes. Another 62 wins & 183 nominations.,8.5,"165,476",tt0979432,5,Boardwalk Empire,Scripted,"['Drama', 'Crime']",60.0,8.7,False,HBO,247,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,N/A,8.6,"7,584",tt1494191,1,Oliver Stone's Untold History of the United States,Documentary,['History'],60.0,8.7,False,Showtime,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,N/A,8.5,"49,870",tt0280249,9,Dragon Ball,Animation,"['Action', 'Adventure', 'Anime', 'Fantasy']",30.0,8.6,False,Fuji TV,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,N/A,8.5,"37,173",tt0423731,1,Samurai Champloo,Animation,"['Comedy', 'Action', 'Adventure', 'Anime']",25.0,8.4,False,Fuji TV,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Nominated for 8 Primetime Emmys. Another 1 win & 6 nominations.,8.6,"11,860",tt4295140,6,Chef's Table,Documentary,['Food'],50.0,8.1,Netflix,False,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,1 nomination.,8.7,"5,022",tt3398540,4,Haikyuu!!,Animation,"['Comedy', 'Anime', 'Sports']",30.0,8.4,False,MBS,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
180,Nominated for 10 Primetime Emmys. Another 3 wins & 13 nominations.,8.5,"52,802",tt0863046,2,Flight of the Conchords,Scripted,['Comedy'],30.0,8.6,False,HBO,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,16 wins & 37 nominations.,8.6,"23,555",tt5421602,3,Anne with an E,Scripted,"['Drama', 'Family', 'History']",60.0,8.5,False,CBC,53,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,5 wins & 7 nominations.,8.6,"8,441",tt0086831,2,"Yes, Prime Minister",Scripted,['Comedy'],30.0,8.6,False,BBC Two,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,Nominated for 2 Primetime Emmys. Another 4 wins & 13 nominations.,8.5,"22,414",tt0094517,11,Mystery Science Theater 3000,Scripted,['Comedy'],120.0,8.3,False,Syfy,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Nominated for 5 Primetime Emmys. Another 7 wins & 8 nominations.,8.6,"10,235",tt6958022,1,The Defiant Ones,Documentary,"['Music', 'History']",60.0,6.5,False,HBO,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
186,Won 3 Primetime Emmys. Another 10 wins & 19 nominations.,8.5,"45,348",tt0995832,1,Generation Kill,Scripted,"['Drama', 'War']",60.0,8.4,False,HBO,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
187,8 wins & 18 nominations.,8.5,"124,656",tt0487831,5,The IT Crowd,Scripted,['Comedy'],30.0,8.8,False,Channel 4,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,N/A,8.6,"4,749",tt0315008,1,Great Teacher Onizuka,Animation,"['Drama', 'Comedy', 'Anime']",30.0,7.7,False,Fuji TV,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,2 wins & 2 nominations.,8.5,"41,127",tt0237123,4,Coupling,Scripted,"['Comedy', 'Romance']",30.0,8.5,False,BBC Three,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
190,Nominated for 2 Golden Globes. Another 20 wins & 83 nominations.,8.5,"72,379",tt1492966,5,Louie,Scripted,"['Drama', 'Comedy']",30.0,8.1,False,FX,105,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Nominated for 3 Golden Globes. Another 13 wins & 36 nominations.,8.5,"107,427",tt2401256,1,The Night Of,Scripted,"['Drama', 'Crime', 'Legal']",60.0,8.6,False,HBO,52,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
192,4 wins & 8 nominations.,8.5,"94,492",tt0096657,1,Mr. Bean,Scripted,"['Comedy', 'Family']",30.0,8.9,False,ITV,12,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
